javascript 22
python 19
c 28
java 23
php 24
cpp 16
lisp 29
html 3
header 15
ruby 32
perl 51
vimscript 33
haskell 40
scala 47
markdown 118
pascal 46
erlang 25
actionscript 42
lua 54
go 55
objective-c 21
json 122
d 45
config 113
ocaml 64
coffeescript 106
matlab 20
assembly 34
typescript 151
